plate,well,cycle_nr,time_s,temperature_C,raw_value,mutant
Plate1,A01,1,0,24.8,0.20319999754428864,F313D
Plate1,A01,2,1200,24.5,0.18880000710487366,F313D
Plate1,A01,3,2400,25.5,0.18979999423027039,F313D
Plate1,A01,4,3600,25.5,0.18950000405311584,F313D
Plate1,A01,5,4800,25.7,0.19040000438690186,F313D
Plate1,A01,6,6000,25.7,0.19259999692440033,F313D
Plate1,A01,7,7200,25.8,0.19509999454021454,F313D
Plate1,A01,8,8400,26.0,0.19769999384880066,F313D
Plate1,A01,9,9600,25.9,0.20010000467300415,F313D
Plate1,A01,10,10800,25.6,0.20270000398159027,F313D
Plate1,A01,11,12000,26.0,0.20509999990463257,F313D
Plate1,A01,12,13200,26.0,0.20649999380111694,F313D
Plate1,A01,13,14400,25.9,0.20800000429153442,F313D
Plate1,A01,14,15600,26.0,0.2092999964952469,F313D
Plate1,A01,15,16800,26.3,0.21050000190734863,F313D
Plate1,A01,16,18000,26.4,0.21150000393390656,F313D
Plate1,A01,17,19200,26.3,0.2125999927520752,F313D
Plate1,A01,18,20400,26.1,0.21369999647140503,F313D
Plate1,A01,19,21600,26.0,0.21480000019073486,F313D
Plate1,A01,20,22800,25.9,0.21610000729560852,F313D
Plate1,A01,21,24000,26.0,0.21729999780654907,F313D
Plate1,A01,22,25200,25.6,0.21870000660419464,F313D
Plate1,A01,23,26400,25.8,0.2198999971151352,F313D
Plate1,A01,24,27600,25.7,0.22130000591278076,F313D
Plate1,A01,25,28800,25.6,0.22280000150203705,F313D
Plate1,A01,26,30000,25.4,0.22390000522136688,F313D
Plate1,A01,27,31200,25.1,0.22519999742507935,F313D
Plate1,A01,28,32400,25.6,0.22630000114440918,F313D
Plate1,A01,29,33600,25.4,0.22759999334812164,F313D
Plate1,A01,30,34800,25.5,0.22869999706745148,F313D
Plate1,A01,31,36000,25.4,0.22990000247955322,F313D
Plate1,A01,32,37200,25.2,0.23109999299049377,F313D
Plate1,A01,33,38400,25.4,0.2321999967098236,F313D
Plate1,A01,34,39600,25.2,0.23340000212192535,F313D
Plate1,A01,35,40800,25.4,0.2345999926328659,F313D
Plate1,A01,36,42000,25.4,0.23579999804496765,F313D
Plate1,A01,37,43200,25.4,0.2371000051498413,F313D
Plate1,A01,38,44400,25.3,0.23819999396800995,F313D
Plate1,A01,39,45600,25.2,0.2393999993801117,F313D
Plate1,A01,40,46800,25.3,0.24050000309944153,F313D
Plate1,A01,41,48000,25.2,0.24169999361038208,F313D
Plate1,A01,42,49200,25.1,0.2425999939441681,F313D
Plate1,A01,43,50400,25.2,0.24410000443458557,F313D
Plate1,A01,44,51600,25.6,0.2451000064611435,F313D
Plate1,A01,45,52800,25.4,0.2459000051021576,F313D
Plate1,A01,46,54000,25.2,0.24690000712871552,F313D
Plate1,A01,47,55200,25.4,0.24779999256134033,F313D
Plate1,A01,48,56400,25.2,0.24889999628067017,F313D
Plate1,A01,49,57600,25.1,0.24959999322891235,F313D
Plate1,A02,1,0,24.8,0.2085999995470047,
Plate1,A02,2,1200,24.5,0.20309999585151672,
Plate1,A02,3,2400,25.5,0.19939999282360077,
Plate1,A02,4,3600,25.5,0.20200000703334808,
Plate1,A02,5,4800,25.7,0.20739999413490295,
Plate1,A02,6,6000,25.7,0.20200000703334808,
Plate1,A02,7,7200,25.8,0.21150000393390656,
Plate1,A02,8,8400,26.0,0.21389999985694885,
Plate1,A02,9,9600,25.9,0.2168000042438507,
Plate1,A02,10,10800,25.6,0.21729999780654907,
Plate1,A02,11,12000,26.0,0.2206999957561493,
Plate1,A02,12,13200,26.0,0.22259999811649323,
Plate1,A02,13,14400,25.9,0.22290000319480896,
Plate1,A02,14,15600,26.0,0.22439999878406525,
Plate1,A02,15,16800,26.3,0.22550000250339508,
Plate1,A02,16,18000,26.4,0.22550000250339508,
Plate1,A02,17,19200,26.3,0.22679999470710754,
Plate1,A02,18,20400,26.1,0.22769999504089355,
Plate1,A02,19,21600,26.0,0.2287999987602234,
Plate1,A02,20,22800,25.9,0.22949999570846558,
Plate1,A02,21,24000,26.0,0.2296999990940094,
Plate1,A02,22,25200,25.6,0.22830000519752502,
Plate1,A02,23,26400,25.8,0.2280000001192093,
Plate1,A02,24,27600,25.7,0.22990000247955322,
Plate1,A02,25,28800,25.6,0.23080000281333923,
Plate1,A02,26,30000,25.4,0.23180000483989716,
Plate1,A02,27,31200,25.1,0.23280000686645508,
Plate1,A02,28,32400,25.6,0.23340000212192535,
Plate1,A02,29,33600,25.4,0.23479999601840973,
Plate1,A02,30,34800,25.5,0.2363000065088272,
Plate1,A02,31,36000,25.4,0.23729999363422394,
